epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,262.449,0.48775,0.44512,0.91231,0.99489,1,0.995,0.93503,0.34835,0.45659,0.82123,0.00030063,0.00030063,0.00030063
35,270.922,0.46466,0.51848,0.88663,0.9889,1,0.995,0.91097,0.37245,0.52409,0.826,0.00029852,0.00029852,0.00029852
36,278.969,0.39712,0.36761,0.88282,0.9889,1,0.995,0.91097,0.37245,0.52409,0.826,0.00029575,0.00029575,0.00029575
37,287.618,0.45802,0.4201,0.89036,0.99063,1,0.995,0.90666,0.39052,0.52121,0.83216,0.00029232,0.00029232,0.00029232
38,295.813,0.44428,0.44567,0.91092,0.99063,1,0.995,0.90666,0.39052,0.52121,0.83216,0.00028823,0.00028823,0.00028823
39,304.087,0.41727,0.37765,0.85596,0.99163,1,0.995,0.92878,0.36344,0.4381,0.82332,0.00028348,0.00028348,0.00028348
40,311.478,0.46618,0.395,0.96075,0.99163,1,0.995,0.92878,0.36344,0.4381,0.82332,0.00027807,0.00027807,0.00027807
41,319.474,0.35435,0.3488,0.86465,0.99054,1,0.995,0.9609,0.30085,0.35852,0.80406,0.000272,0.000272,0.000272
42,327.56,0.40317,0.34966,0.87507,0.99054,1,0.995,0.9609,0.30085,0.35852,0.80406,0.00026527,0.00026527,0.00026527
43,335.75,0.41845,0.35626,0.87133,0.99066,1,0.995,0.96492,0.27708,0.31598,0.79659,0.00025788,0.00025788,0.00025788
44,344.247,0.40686,0.35903,0.84236,0.99066,1,0.995,0.96492,0.27708,0.31598,0.79659,0.00024983,0.00024983,0.00024983
45,352.726,0.38259,0.33344,0.85679,0.99358,1,0.995,0.9531,0.29116,0.32087,0.7991,0.00024112,0.00024112,0.00024112
46,360.217,0.36367,0.34119,0.85194,0.99358,1,0.995,0.9531,0.29116,0.32087,0.7991,0.00023175,0.00023175,0.00023175
47,367.568,0.34751,0.31544,0.85359,0.99678,1,0.995,0.94991,0.3236,0.32834,0.80453,0.00022172,0.00022172,0.00022172
48,374.848,0.3213,0.31358,0.88711,0.99678,1,0.995,0.94991,0.3236,0.32834,0.80453,0.00021103,0.00021103,0.00021103
49,381.756,0.34532,0.33328,0.84606,0.99818,1,0.995,0.94971,0.32494,0.33227,0.80371,0.00019968,0.00019968,0.00019968
50,388.654,0.35501,0.30689,0.88218,0.99818,1,0.995,0.94971,0.32494,0.33227,0.80371,0.00018767,0.00018767,0.00018767
51,395.646,0.39818,0.5381,0.82734,0.99863,1,0.995,0.95344,0.30577,0.33259,0.79938,0.000175,0.000175,0.000175
52,402.559,0.35461,0.50206,0.82739,0.99863,1,0.995,0.95344,0.30577,0.33259,0.79938,0.00016167,0.00016167,0.00016167
